GTV 6
RX7
240D
280CE
280E
300CD
300D
300SD
300TD
380SEL
380SL
380SLC
CAPRI
CAPRI GHIA GS
COUGAR
COUGAR XR7
GRAND MARQUIS
LYNX
MARQUIS
MARQUIS BROUGHAM
MARQUIS COLONY PARK
ZEPHYR
ZEPHYR Z-7
98 LUXURY
98 REGENCY
CUSTOM CRUISER
CUTLASS
CUTLASS BROUGHAM
CUTLASS CALAIS
CUTLASS CRUISER
CUTLASS CRUISER BROUGHAM
CUTLASS LS
CUTLASS SUPREME
CUTLASS SUPREME BROUGHAM
DELTA 88
DELTA 88 ROYALE
DELTA 88 ROYALE BROUGHAM
OMEGA
OMEGA BROUGHAM
TORONADO BROUGHAM
504
505
ARROW CUSTOM
ARROW ROYAL
ARROW SPORT
CARAVELLE
CARAVELLE SALON
CARAVELLE SPORT
CHAMP
CHAMP CUSTOM
GRAN FURY
HORIZON
HORIZON MISER
HORIZON TC3
HORIZON TC3 MISER
RELIANT
RELIANT CUSTOM
RELIANT SE
SAPPORO
TRAILDUSTER PD100
TRAILDUSTER PW100
VOYAGER PB150
VOYAGER PB250
VOYAGER PB350
ACADIAN
ACADIAN S
BONNEVILLE
BONNEVILLE BROUGHAM
BONNEVILLE SAFARI
CATALINA
CATALINA SAFARI
FIREBIRD
FIREBIRD ESPRIT
FIREBIRD FORMULA
FIREBIRD SE
FIREBIRD TRANS AM
GRAND LEMANS
GRAND LEMANS SAFARI
GRAND PRIX
GRAND PRIX BROUGHAM
GRAND PRIX LJ
LAURENTIAN
LAURENTIAN SAFARI
LEMANS
LEMANS SAFARI
PARISIENNE
PARISIENNE SAFARI
PHOENIX
PHOENIX LJ
T-1000
911
924
928
18I
LE CAR
LE CAR GTL
LE CAR GTL DELUXE
R18
CARMAQUE
CORNICHE
SILVER SPIRIT
SILVER SPUR
900
900 S
BRAT
BRAT GL
DL
DL AWD
FWD
GL
GL AWD
GLF
STANDARD
JIMNY LJ80
JIMNY LJ80V
3/4 TON
CELICA GT
CELICA ST
COROLLA
COROLLA DELUXE
COROLLA SR5
CORONA DELUXE
CORONA LE
CRESSIDA LUXURY
DELUXE 1/2 TON
LANDCRUISER
LONG BED 1/2 TON
SR5 1/2 TON
STANDARD BED 1/2 TON
STARLET
SUPRA
TERCEL
TERCEL DELUXE
TERCEL SR5
TR7
TR8
CAMPER
DASHER
JETTA DELUXE
KOMBI
RABBIT
RABBIT DELUXE
RABBIT L CUSTOM
RABBIT LS DELUXE
RABBIT S SPORT
SCIROCCO DELUXE
TRANSPORTER
240
240 STANDARD
242
244
245
260
CHEROKEE CHIEF
CHEROKEE LAREDO
5000 S DELUXE
QUATTRO
528E
528E AUTOMATIC
CENTURY CUSTOM
LESABRE CUSTOM
REGAL ESTATE
SKYHAWK CUSTOM
SKYHAWK LIMITED
CIMARRON
CAVALIER
CAVALIER TYPE10
CELEBRITY
S10
210 DELUXE/SPORT
310 DELUXE/GX
MAXIMA
SENTRA
STANZA
400
400 LS
COLT DELUXE
D50 IMPORT
OMNI 024 CHARGER 2.2
OMNI EURO-SEDAN
RAMPAGE
CLUB WAGON SUPER E250
ESCORT EXP
MTD COUNTRY SQUIRE
S15
CIVIC WAGOVAN
Z110
XJ6 VANDEN PLAS
XJS
CONTINENTAL
B2200 LONG BED
B2200 SHORT BED
300 CDT
300 TDT
300DT
380SEC
CAPRI GS
LYNX LN-7
MARQUIS GRAND
98 REGENCY BROUGHAM
CUTLASS CIERA
CUTLASS CIERA BROUGHAM
CUTLASS CIERA LS
FIRENZA
FIRENZA LX
FIRENZA S
FIRENZA SX
604
CHAMP DELUXE
GRAN FURY/CARAVELLE
HORIZON EURO-SEDAN
HORIZON TC3 TURISMO
6000
6000 LE
GRAND LEMANS BROUGHAM
J2000
J2000 LE
J2000 S
J2000 SE
PARISIENNE BROUGHAM
PARISIENNE BROUGHAM SAFAR
PHOENIX SJ
PHOENIX-X
FUEGO
BRAT DL
JIMNY SJ410
QUANTUM CUSTOM
QUANTUM DELUXE
VANAGON BUS
VANAGON CAMPMOBILE
240 DL
240 GLT
242 DL
242 GLT
244 DL
244 GL/GLT
245 DL
245 GL
260 GLE
ALLIANCE
ALLIANCE DL
ALLIANCE L
ALLIANCE LIMITED
SPIRIT GT
533I
533I AUTOMATIC
CENTURY T-TYPE
REGAL T-TYPE
SKYHAWK T-TYPE
SKYLARK CUSTOM
SKYLARK T-TYPE
CAMARO LT
CAVALIER CL
CAVALIER CS
S10 BLAZER
E CLASS
EXECUTIVE SEDAN
NEW YORKER FIFTH AVE
720 US KING CAB
720 US LONG BED
720 US STANDARD BED
PULSAR
PULSAR NX
PULSAR NX TURBO
600
600 ES
CHARGER 2.2
OMNI CHARGER
OMNI CUSTOM
SHELBY CHARGER
308GTB QUATTRO
308GTS QUATTRO
MONDIAL CABRIOLET
MONDIAL QUATTROVALVOLE
BERTONE
PININFARINA
ESCORT GL
ESCORT GLX
ESCORT GT
ESCORT L
RANGER
G20 RALLY
G2500 RALLY
JIMMY S15
PONY GL DELUXE
PONY GLS GLORIOUS
PONY L
IMPULSE
XJ6 SOVERIGN
ESPRIT
LYNX GS
LYNX L
LYNX LS
LYNX RS
MARQUIS/BROUGHAM
ZEPHYR GS
CORDIA
CORDIA L
MIGHTY MAX S
MIGHTY MAX SP
MIGHTY MAX SPX
MIGHTY MAX/S
MONTERO
PRECIS
STARION
TREDIA
HORIZON CUSTOM
HORIZON TURISMO
HORIZON TURISMO 2.2
SCAMP
SCAMP GT
6000 STE
PHOENIX-X LJ
911 SC
928S
944
CAMRY DELUXE
CAMRY LE
CELICA GT-S
COROLLA DELUXE/SR5
LONG BED
LONG BED SR5
RABBIT GL DELUXE
RABBIT GTI SPORT
RABBIT L
RABBIT LS CUSTOM
240 GL
244 GL
760
LE SHARO/PHASAR
EAGLE
EAGLE LIMITED
ENCORE
ENCORE GS
ENCORE LS
ENCORE S
GRAND WAGONEER
SCRAMBLER
4000 S CUSTOM
4000 S QUATTRO AWD
5000 S
5000 S CUSTOM
5000 S TURBO
CUSTOM
318I
318I AUTOMATIC
325E
325E AUTOMATIC
CENTURY ESTATE
ELDORADO BIARRITZ
CHEVETTE CS
CITATION II
D10 MILITARY BLAZER
D30 MILITARY POSTAL UNIT
DAYTONA
FIFTH AVENUE
LASER
LASER XE
300ZX
300ZX 2+2
720 SHORT BED
720 US SHORT BED
MICRA
CARAVAN
CARAVAN LE
CARAVAN SE
COLT DL
COLT E
COLT VISTA
CONQUEST
DAYTONA TURBO
DIPLOMAT SE
MINI RAM
OMNI SE
ROYAL
BRONCO II
ESCORT/L
MUSTANG GLX
MUSTANG L
MUSTANG SVO
TEMPO GL
TEMPO GLX
TEMPO L
PS4500 P4T042
ACCORD 1800
ACCORD 1800 LX
CIVIC 1300 CRX
CIVIC 1500
CIVIC 1500 CRX
CIVIC DX
PRELUDE 1800
TROOPER II
Z120TA
NIVA
SIGNET 1.3
SIGNET 1.5
MARK VII
BITURBO
QUATTROPORTE
RX7 12A
RX7 13B
190D 2.2
190E 2.3
380SE
500SEC
500SEL
LYNX LTS
TOPAZ GS
TOPAZ L
TOPAZ LS
CORDIA LS
MONTERO LS
SPACE WAGON
TREDIA LS
CUTLASS CIERA CRUISER
DELTA 88 ROYALE BRGHM LS
505 GL
505 S
505 S/STI
HORIZON SE
VOYAGER
VOYAGER LE
VOYAGER SE
BONNEVILLE LE
FIERO
FIERO SE
FIERO SPORTS COUPE
GRAND PRIX LE
PHOENIX LE
PHOENIX SE
911 CARRERA
SPORTWAGON
1/2 TON
4RUNNER
COMMERCIAL CAMPER
COROLLA LE
COROLLA SPORT DELUXE
COROLLA SPORT SR5
LONG BED 3/4 TON
LONG BED DELUXE 1/2 TON
LONG BED DELUXE DIESEL
LONG BED SR5 1/2 TON
STANDARD BED SR5 1/2 TON
VAN WAGON CARGO
VAN WAGON DELUXE
VAN WAGON LE
XTRACAB DELUXE
XTRACAB LONG BED DELUXE
XTRACAB SR5
QUANTUM GL CUSTOM
QUANTUM GL DELUXE
RABBIT GL CUSTOM
VANAGON KOMBI
240 DLT/GLT
CHEROKEE PIONEER
WAGONEER LIMITED
MULSANNE
524TD AUTOMATIC
535I
535I AUTOMATIC
635CSI
635CSI AUTOMATIC
735I
735I AUTOMATIC
ELECTRA 300
ELECTRA T-TYPE
SOMERSET REGAL
SOMERSET REGAL LIMITED
ASTRO VAN
CAPRICE
NOVA
SPECTRUM LEVEL I
SPRINT
LEBARON GTS
600 SE
ARIES LE
COLT DL/GTS
COLT PREMIER
COLT VISTA AWD
COLT VISTA CUSTOM
D-100/D-150
LANCER
LANCER ES
ROYAL MINI VAN
W-100/W-150
TESTAROSSA
ESCORT LX
MUSTANG LX
MUSTANG LX/GT
SAFARI
SAFARI SL
ACCORD SEI
CIVIC 1500 CRX SI
CIVIC AWD
CIVIC CRX HF
PRELUDE SI
STELLAR GSL SUPER DELUXE
STELLAR SL DELUXE
KS-22
SIGNET
SIGNET GL
LYNX/L
GALANT
MIRAGE
MIRAGE L
STARION LE/ES TURBO
TREDIA L
720 LONG BED DLX
98 REGENCY BROUGHAM FWD
CALAIS
CALAIS SUPREME
CUTLASS SALON
505 STI
CARAVELLE SE
RELIANT LE
FIERO GT
FIREFLY
GRAND AM
GRAND AM LE
SUNBIRD
SUNBIRD LE
SUNBIRD SE
SUNBURST LE
GL10
XT DL
XT GL
XT GL-10
XT GL-10 AWD
SA310
SAMURAI
1/2 TON SHRT BED DLX
COROLLA LE LTD
COROLLA SPORT GT-S
LONG BED 1 TON
LONG BED DIESEL
MR2
TERCEL DELUXE AWD
XTRACAB DELUXE DEISEL
GOLF
GOLF CABRIOLET
GOLF CUSTOM
GTI
JETTA
JETTA GLI
QUANTUM AWD
740 GLE
740/760
740/760 GLE
760 GLE
765 GLE
INTEGRA LS
INTEGRA RS
LEGEND
COMANCHE CUSTOM
COMANCHE X
COMANCHE XLS
ENCORE ELECTRONIC
5000 S QUATTRO
A4 QUATTRO CABRI
GT
MULSANNE L
L7
ELECTRA
SKYHAWK SPORT
SOMERSET CUSTOM
SOMERSET LIMITED
SOMERSET SKYLARK LIMITED
SOMERSET T-TYPE
DEVILLE/FLEETWOOD EDITION
4000 W4S042
CAVALIER RS
CAVALIER Z24
G20
SPRINT PLUS
LEBARON GTS PREMIUM
COLT VISTA CUSTOM AWD
D-100
DAYTONA TURBO Z
W-100
328 GTB
328 GTS
MONDIAL
AEROSTAR
ECONOLINE MOTORHOME E350
ECONOLINE VAN E150
ECONOLINE VAN E250
ECONOLINE VAN E350
LIGHT CONVENTIONAL F150
LIGHT CONVENTIONAL F250
LIGHT CONVENTIONAL F350
TAURUS
TEMPO LX
ACCORD DX
ACCORD LXI
CIVIC 1.5
CIVIC 1.5 SI
CIVIC CRX HF 1.5 LITRE
CIVIC GL
PRELUDE 2.0SI/S
EXCEL GL
EXCEL GLS
EXCEL L
NPR
PUP-SPACE CAB
XJ-SC
XJ-SC HE
425
SPYDER
323
190D 2.5
190E 2.3-16
300 SDL
300E
420SEL
560SEC
560SEL
560SL
SABLE
XR3
MIRAGE LS
SP/SPX
SPACE WAGON CUSTOM
D21 C-C
D21 KING CAB
D21 LONG BED
D21 SHORT BED
D21 US KING CAB
D21 US LONG BED
D21 US SHORT BED
MULTI
CUTLASS 442
CUTLASS CIERA S
CUTLASS CIERA SL
DELTA 88 ROYALE BRGHM FWD
DELTA 88 ROYALE FWD
FIRENZA GT
FIRENZA LC
6000 SE
FIREFLY FE
GRAND AM SE
SUNBIRD GT
SUNBURST
R5 GTL
R5 TL
CORNICHE II
9000
GL10 AWD
RX4 AWD TURBO
FORSA
1/2 TON PICKUP DELUX
4RUNNER SR5
CAB RN55
CAB RN75
CAB RN75 D
DELUXE
PICKUP DELUXE
PICKUP SR5
SHORT BED
STD BED TURBO
STD BED XTRACAB DELUX
STDBED XRACAB SR5TBO
XTRACAB
CABRIOLET
JETTA GL
INTEGRA SPL/LS
LEGEND L
LEGEND LS
MILANO GOLD
MILANO GREEN
MILANO PLATINUM
MILANO SILVER
SPIDER GRAD
SPIDER QUAD
ALLIANCE GS
ALLIANCE GTA
CHEROKEE LIMITED
COMANCHE
COMANCHE CHIEF
COMANCHE LAREDO
COMANCHE PIONEER
WRANGLER
WRANGLER LAREDO
WRANGLER SPORT
4000 CS QUATTRO AWD
5000 CS
5000 CS QUATTRO AWD
EIGHT
325/E
325/E AUTOMATIC
325I
325I AUTOMATIC
325IS
325IS AUTOMATIC
635CSI AUTOMATIC/L6
M6
ALLANTE
BROUGHAM
FLEETWOOD 60 SPECIAL
FLEETWOOD D ELEGANCE
BERETTA
CAPRICE CLASSIC BROUGHAM
CORSICA
R10
R10 SUBURBAN
R20
R20 SUBURBAN
R30
SPRINT ER
V10
V10 BLAZER
V10 SUBURBAN
V20
V20 SUBURBAN
V30
DAYTONA PACIFIC
DAYTONA SHELBY Z
LEBARON PREMIUM
COLT GTS
DAKOTA
DAYTONA PACIFICA
RAIDER
RAM 50
RAM 50 CUSTOM
RAM 50 SPORT
SHADOW
CROWN VIC COUNTRY SQR LX
CROWN VIC COUNTRY SQUIRE
CROWN VICTORIA
CROWN VICTORIA LX
CROWN VICTORIA S
ESCORT EXP LUXURY
ESCORT EXP SPORTY
ESCORT PONY
LTD CROWN VICTORIA S
MUSTANG GT
TAURUS GL
TAURUS L
TAURUS LX
TAURUS MT5
TEMPO AWD
TEMPO SPORT
THUNDERBIRD LX
THUNDERBIRD SPORT
R1500
R1500 SUBURBAN
R2500
R2500 SUBURBAN
R3500
V1500
V1500 JIMMY
V1500 SUBURBAN
V2500
V2500 SUBURBAN
V3500
ACCORD EXI
CIVIC 1500S
STELLAR CL DELUXE
STELLAR CXL SUPER DELUXE
EURO 110
EURO 120A
CONTINENTAL GIVENCHY
MARK VII BLASS
MARK VII LSC
TOWN CAR CARTIER
TOWN CAR SIGNATURE
B2000 CAB PLUS
B2200 CAB PLUS
B2600 CAB PLUS
B2600 LONG BODY
B2600 SHORT BODY
190DT
190E 2.6
260E
COUGAR LS
GRAND MARQUIS COL PRK GS
GRAND MARQUIS COL PRK LS
GRAND MARQUIS GS
GRAND MARQUIS LS
LYNX XR3
MARQUIS COLONY PARK GS
MARQUIS COLONY PARK LS
SABLE GS
SABLE LS
TOPAZ GS SPORT
TRACER
TRACER GL
TRACER L
FE434
MIGHTY MAX SPORT
MONTERO SPORT
PRECIS LS
VAN
WAGON
HONEYBEE
PATHFINDER
PULSAR NX SE
PULSAR NX XE
SENTRA AWD
CUTLASS CIERA BRGHM CRUSR
505 GLS
505 LIBERTE
505 STX
SUNDANCE
TEMPEST
924S
944 S
9000 S
JUSTY DL
JUSTY GL
STANDARD AWD
XT GL AWD
FORSA V
COROLLA FX
COROLLA FX16
COROLLA FX16 GT-S
MR2 T-BAR
SUPRA W-SPORT ROOF
FOX
FOX GL
GOLF GL
GOLF GT
GTI 16 VALVE
JETTA GLI 16 VALVE
JETTA SPORT
SCIROCCO 16 VALVE
780
INTEGRA SPECIAL EDITION
LEGEND SR
80
80 QUATTRO AWD
90
90 QUATTRO AWD
MULSANNE S
325
325 AUTOMATIC
325IX
535I/IS
535I/IS AUTOMATIC
735IL
750IL
M3
M5
ELECTRA ULTRA
REATTA
REGAL CUSTOM
SKYHAWK
4000 W4-ST
CAVALIER/VL
D6500 C7D042
CONQUEST TSI
DYNASTY
DYNASTY LE
NEW YORKER LANDAU
CHARADE CLS
CHARADE CLX
CHARADE SX
DAKOTA SPORT
GRAND CARAVAN LE
GRAND CARAVAN SE
OMNI/EXPO
RAM WAGON B350 BUS
SHELBY SHADOW
W100
MEDALLION DL
MEDALLION LX
PREMIER ES
PREMIER LX
VISTA
VISTA DL
VISTA LX
F SUPER DUTY
FESTIVA L
FESTIVA LX
TEMPO
ACCORD S
CIVIC CRX DX
CIVIC LX
CIVIC SE
PRELUDE 2.0S
CONV PU SPACECAB
NPR-ST
REG CAB LONG BED
REG CAB SHORT BED
SPACE CAB
VANDEN PLAS
XJ12 VANDEN PLAS
COMANCHE ELIMINATOR
WRANGLER S
WRANGLER SAHARA
COM
TYPE A
SAMARA
COUNTACH
JALPA
LM
CONTINENTAL SIGNATURE
323 AWD
929
MX-6
MX-6 GT
300CE
300SE
300SEL
300TE
TOPAZ LTS
TOPAZ XR5
TRACER GS
TRACER LS
SCORPIO
XR4TI
GALANT SIGMA
PRECIS RS
98 REGENCY TOURING
CUTLASS CALAIS INTL SERS
CUTLASS CALAIS SL
CUTLASS CIERA INTL SERIES
CUTLASS SUPREME CLASSIC
CUTLASS SUPREME CLS BRGHM
CUTLASS SUPREME INTL SERS
CUTLASS SUPREME SL
DELTA 88 INTERNATIONAL
TORONADO
TORONADO TROFEO
OPTIMA
OPTIMA GLS
OPTIMA LS
505 DL
505 GLX
GRAN FURY SALON
GRAND VOYAGER LE
GRAND VOYAGER SE
HORIZON/EXPO
6000 STE AWD
BONNEVILLE SE
BONNEVILLE SSE
FIREBIRD TRANS AM/GTA
GRAND PRIX SE
LEMANS AEROCOUPE
LEMANS AEROCOUPE YL
LEMANS SE
928 S-4
JUSTY GL/RS AWD
XT 6
XT 6 AWD
FORSA/FORSV
CAMRY
CAMRY DELUXE AWD
CAMRY LE AWD
CELICA AWD
COROLLA DELUXE AWD
COROLLA GT-S
COROLLA SR5 AWD
LANDCRUISER GX
LONG BED DELUXE
MR2 T-BAR SC
SHORT BED SR5
SHORT BED STD
SHORT BED XTRACAB DELUXE
SHORT BED XTRACAB SR5
TERCEL EZ
VAN DELUXE
JETTA CARAT
QUANTUM GL5
QUANTUM GL5 AWD
SCIROCCO
VANAGON CAMPER
GV
GVL
GVS
GVX
INTEGRA LS SPECIAL
LEGEND LC
LEGEND LL
100
100 E
100 QUATTRO AWD
200
200 QUATTRO AWD
90 QUATTRO 20V AWD
TURBO-R
325I AUTO/IS AUTO
325I/IS
325IX AUTOMATIC
525I
525I AUTOMATIC
BERETTA GT
CORSICA LTZ
S10 LONG LIFE VEHICLE
DAYTONA ES
DAYTONA SHELBY
T-C BY MASERATI
CHARADE CES
2000 GTX
CARAVAN EXTNDED
COLT 100DL
COLT 100E
COLT 100LX
COLT 200DL
COLT 200E
COLT 200LX
COLT DL AWD
COLT E/200E
COLT GT/200GT
DAKOTA SHELBY
LANCER SHELBY
SPIRIT ES
SPIRIT LE
SUMMIT
SUMMIT DL
SUMMIT LX
VISTA AWD
VISTA GL
VISTA GT
348 TS
MONDIAL T
MONDIAL T CABRIOLET
ESCORT PONY/L
MUSTANG GT/COBRA GT
PROBE GL
PROBE GT
PROBE LX
TAURUS SHO
THUNDERBIRD SUPER COUPE
METRO
METRO/SPRINT
PRIZM/LSI
SPECTRUM ENTRY
SPECTRUM ENTRY/ENTRY PLUS
TRACKER
C6400 CP4
GEO TRACKER
SIERRA C1500
SIERRA C2500
SIERRA C3500
SIERRA K1500
SIERRA K2500
SIERRA K3500
CIVIC CX
CIVIC SI
EXCEL GL/CX
EXCEL GLS/CXL
SONATA DELUXE
SONATA GLS
SONATA SPORT DELUXE
SONATA/GL
AMIGO
EURO 10-14
EURO 12-11
EURO 12-12
EURO 12-14
SOVERIGN
VANDEN PLAS MAJESTIC
XJS COLLECTION ROUGE
WRANGLER ISLANDER/YJ
WRANGLER LAREDO/YJ
WRANGLER SAHARA/YJ
WRANGLER/YJ
LAFORZA
TOWN CAR SIG SPECIAL ED
430
MPV VAN
MPV WAGON
FE444
GALANT GS
GALANT LS
MIRAGE VL
SIGMA
STARION ESI
WAGON LS
240SX
240SX SE
240SX XE
D21 REGULAR CAB
CUTLASS CALAIS S
CUTLASS CRUISER SL
OPTIMA GSI
405 DL
405 MI16
405 S
505 SW8
ACCLAIM
ACCLAIM LE
ACCLAIM LX
FIREBIRD TRANS AM/GTA SE
FIREBIRD/FORMULA
LEMANS GSE
911 CARRERA4
900/S
9000 CD
9000 D
SAMURAI JL
SIDEKICK JA
SIDEKICK JX/JLX
SWIFT
SWIFT GTI
CAB CHASSIS LONG WB
CAB CHASSIS SUPER LWB
CAMRY AWD
CRESSIDA
EXTRA LONG XCAB DELUXE
EXTRA LONG XCAB SR
EXTRA LONG XCAB SR5
LONG BED 1 TON DELUXE
LONG BED SR
SHORT BED DELUXE
SHORT BED SR
JETTA CARAT/GL
740
740 GL
INTEGRA GS
INTEGRA GS/SPECIAL ED
200 TURBO
COUPE QUATTRO
COUPE QUATTRO 20V
V8 QUATTRO
325IC
325IC AUTOMATIC
SKYLARK GRAN SPORT
SKYLARK LUXURY EDITION
ALLANTE CV/HT
SEVILLE TOURING
BERETTA GTZ
CAMARO IROC-Z
CAMARO RS
CORSICA LT
CORVETTE ZR-1
LUMINA
LUMINA EURO
LEBARON LANDAU
SALON
TOWN & COUNTRY
CHARADE SE
ROCKY SE
ROCKY SX
COLT GL/200E
D-150 S
MONACO ES
MONACO LE
RAM 50 SE
RAMCHARGER AD-150
RAMCHARGER AW-150
W-150 S
SUMMIT ES
TALON
TALON TSI
TALON TSI AWD
348 TB
F40
FESTIVA L PLUS
METRO LSI
METRO XFI
METRO/LSI/SPRINT CL
PRIZM GSI
STORM 2+2
STORM GSI
ACCORD DX/LX
ACCORD EX/EXR
ACCORD LX/EX
CIVIC EX
PRELUDE SI ALB/SR
PRELUDE SR
M30
Q45
NORMAL CAB SWB
TROOPER
EXECUTIVE XJ6
XJ6 BASELINE
XJ6 SOVEREIGN
XJS CLASSIC COLLECTION
XJS PALLETTE COLLECTION
CHEROKEE SPORT
WRANGLER S/YJ
ES 250
LS 400
323 DX
323 LX
323/SE
626 DX/LX
626 GT
626 LX
929 S
MIATA
MX-5 MIATA
PROTEGE AWD
PROTEGE GT
PROTEGE LX
PROTEGE SE
RX7 GTU/GLX
300E 2.6
300E/4-M
300SL
300TE/4-M
350SDL
500SL
ECLIPSE
ECLIPSE GS
ECLIPSE GSX
FG434
GALANT GSX
MIRAGE RS
300ZX TURBO
AXXESS
SILHOUETTE
LASER RS
FIREFLY LE
GRAND PRIX MCCLAREN
GRAND PRIX STE
LEMANS LE
LEMANS LE AEROCOUPE
LEMANS VALUE LEADER
TRANS SPORT
911 CARRERA2/4
928 S-4/GT
944 S-2
JUSTY GL AWD
LEGACY
LEGACY L
LEGACY L AWD
LEGACY L/HX/PX/RX
LEGACY L/HX/PX/RX AWD
LEGACY LS SPEC AWD
LEGACY LS SPEC/LT
LEGACY LS SPECIAL
LEGACY LS/JT
LEGACY LS/JT AWD
LOYALE
LOYALE AWD
LOYALE RS AWD
SIDEKICK JS
SWIFT GT
SWIFT L/S/GL
SWIFT/GL
SWIFT/L/GL/GLX
CELICA GT-S AWD
TERCEL DX
TERCEL S
CORRADO
FOX GL SPORT
GOLF GTI 16V
GOLF GTI 8V
JETTA GTX
PASSAT
PASSAT GL
VANAGON MULTIVAN
240/DL
740/GL
WALK-IN VAN 800 SERIES
GV PLUS
GVC CABRIO
NSX
164
164 L
164 SPORT
SPIDER
200 QUATTRO 20V TURBO AWD
318IS
750IL AUTOMATIC
850I
850I AUTOMATIC
CENTURY SPECIAL
PARK AVENUE
PARK AVENUE ULTRA
ROADMASTER
ROADMASTER ESTATE
DEVILLE TOURING SEDAN
CAMARO Z28
CAPRICE CLASSIC/LTZ
CAVALIER VL/RS
LUMINA Z34
DAYTONA SHELBY/IROC
LEBARON LX
NEW YORKER SALON
COLT 200GT
SHADOW AMERICA/S
SHADOW ES
SHADOW S
SPIRIT R/T
STEALTH
STEALTH ES
STEALTH R/T
STEALTH R/T TURBO
