1,1,1,1
1,1,2,2
1,2,3,3
1,2,3,4
1,2,4,5
1,2,5,5
1,2,6,1
1,2,6,6
1,2,6,3
1,2,7,1
1,2,7,6
1,2,7,3
1,2,8,1
1,2,8,6
1,2,8,3
1,2,9,1
1,2,9,6
1,2,9,3
1,2,10,1
1,2,10,6
1,2,10,3
1,2,11,1
1,2,12,1
1,2,13,7
1,2,14,7
1,2,15,8
1,2,16,8
1,2,17,5
1,2,18,7
1,2,18,1
1,2,19,7
1,2,19,1
1,2,20,3
1,3,21,9
1,3,21,6
1,3,22,6
1,3,23,6
1,3,24,6
1,3,25,9
1,4,26,1
1,4,27,1
1,4,28,6
1,4,29,6
1,4,30,9
1,4,31,9
1,4,32,6
1,4,33,6
1,5,34,6
1,5,34,3
1,5,35,3
1,5,36,6
1,5,37,3
1,5,38,9
1,5,38,6
1,5,39,9
1,5,39,6
1,5,40,9
1,5,40,6
1,5,41,3
1,5,42,9
1,5,42,6
1,5,43,9
1,5,44,9
1,5,45,9
1,5,46,9
1,5,47,9
1,5,48,9
1,5,48,6
1,5,49,9
1,5,49,6
1,5,50,9
1,5,50,6
1,6,51,9
1,6,51,6
1,6,52,9
1,6,53,10
1,6,53,11
1,6,54,9
1,6,54,6
1,6,55,11
1,6,56,6
1,7,57,8
1,7,58,5
1,7,59,12
1,7,60,13
1,7,60,14
1,7,60,15
1,7,60,8
1,7,61,12
1,7,62,13
1,7,62,14
1,7,62,15
1,7,62,8
1,7,62,16
1,7,63,17
1,7,64,9
1,7,65,9
1,7,66,9
1,7,66,6
1,7,66,3
1,7,67,18
1,7,67,19
1,7,68,18
1,7,69,18
1,7,69,19
1,7,70,9
1,7,71,8
1,7,72,20
1,7,73,21
1,7,74,20
1,7,75,21
1,7,76,22
1,7,77,20
1,7,78,21
1,7,79,23
1,7,80,9
1,7,80,6
1,7,80,3
1,7,81,8
1,7,82,5
1,7,83,12
1,7,84,13
1,7,84,8
1,7,85,12
1,7,86,13
1,7,86,14
1,7,86,8
1,7,87,8
1,7,88,24
1,7,88,6
1,7,88,3
1,7,89,24
